Unternehmen,Monat,Produktion_Budget,Produktion_Kosten,Personal_Budget,Personal_Kosten,IT_Budget,IT_Kosten,Marketing_Budget,Marketing_Kosten,Logistik_Budget,Logistik_Kosten,Sonstiges_Budget,Sonstiges_Kosten,Budget_Gesamt,Ausgaben_Gesamt,Umsatz,Gewinn
Volkswagen AG,01-2015,22200000,21382700,11800000,11284300,7200000,6813900,6900000,6463400,4100000,4324300,4000000,4479700,56200000,54748300,76647620,21899320
Volkswagen AG,02-2015,22200000,20452300,10700000,11917900,7600000,7203400,5900000,6566000,4900000,4037900,3900000,4357500,55200000,54535000,76349000,21814000
Volkswagen AG,03-2015,21800000,20711200,11400000,11594400,6700000,7620600,6200000,6779600,4400000,4830300,4100000,4002100,54600000,55538200,77753480,22215280
Volkswagen AG,04-2015,21500000,21580400,11500000,11398800,8000000,7779000,6100000,6348500,4600000,4289900,3700000,4041500,55400000,55438100,77613340,22175240
Volkswagen AG,05-2015,21900000,21672700,11900000,11559200,7500000,7771600,7100000,6012900,3800000,4474000,4400000,3783700,56600000,55274100,77383740,22109640
Volkswagen AG,06-2015,21900000,20566400,11200000,11377700,7500000,7840200,7000000,6273000,4000000,4098700,4500000,3815700,56100000,53971700,75560380,21588680
Volkswagen AG,07-2015,21600000,20271600,11000000,11429500,7600000,7489100,6900000,6015700,4900000,4164000,3900000,4239300,55900000,53609200,75052880,21443680
Volkswagen AG,08-2015,22300000,21096900,12100000,11457000,6800000,6851200,6200000,6620600,3900000,4893700,4000000,3816000,55300000,54735400,76629560,21894160
Volkswagen AG,09-2015,22400000,19873200,11400000,11578400,6800000,7702800,6300000,6253600,4700000,4765000,3600000,4098800,55200000,54271800,75980520,21708720
Volkswagen AG,10-2015,22000000,19833100,11100000,11254200,7000000,7484700,7000000,6788900,4900000,4467100,3500000,3766700,55500000,53594700,75032580,21437880
Volkswagen AG,11-2015,22300000,21139300,12200000,11226400,7700000,7828700,7000000,6455400,4800000,4228500,3600000,3897900,57600000,54776200,76686680,21910480
Volkswagen AG,12-2015,21900000,21195100,11800000,11823800,7000000,6767400,6500000,6110900,4500000,4870600,4700000,3872200,56400000,54640000,76496000,21856000
Volkswagen AG,01-2016,22100000,20367900,12500000,11863100,7800000,7618900,6000000,6304900,4300000,4230200,4100000,3970300,56800000,54355300,76097420,21742120
Volkswagen AG,02-2016,21600000,19711100,12200000,10969400,6700000,6847900,6000000,6410100,4600000,4333700,3800000,3850200,54900000,52122400,72971360,20848960
Volkswagen AG,03-2016,22300000,20147300,11600000,11748200,6900000,7393700,6600000,6335100,4500000,4178200,4000000,4257300,55900000,54059800,75683720,21623920
Volkswagen AG,04-2016,21600000,21495500,11900000,11028900,7600000,7695900,6600000,6068200,4600000,4308200,4500000,4216000,56800000,54812700,76737780,21925080
Volkswagen AG,05-2016,22300000,20076700,10800000,11938100,7200000,7682400,6300000,6696800,4200000,4896500,4300000,4102000,55100000,55392500,77549500,22157000
Volkswagen AG,06-2016,21500000,21227000,12200000,11538500,8000000,6798000,5800000,6358800,4500000,4554100,4400000,3864400,56400000,54340800,76077120,21736320
Volkswagen AG,07-2016,22400000,20273700,11600000,11810400,7000000,6842100,5800000,6428300,4700000,4756300,3600000,4124500,55100000,54235300,75929420,21694120
Volkswagen AG,08-2016,22300000,21969100,12100000,10925400,8100000,7421200,7000000,6073700,4800000,4759700,4200000,3728400,58500000,54877500,76828500,21951000
Volkswagen AG,09-2016,22000000,21438400,11100000,11829800,6900000,7714100,6200000,6385900,4900000,4438800,4400000,4158400,55500000,55965400,78351560,22386160
Volkswagen AG,10-2016,22400000,20195200,11400000,11518300,7800000,7312800,6700000,6219500,4300000,4552100,3600000,4203100,56200000,54001000,75601400,21600400
Volkswagen AG,11-2016,22000000,20715800,12000000,10973500,7500000,7016100,6500000,6350100,4400000,4311700,3700000,3898500,56100000,53265700,74571980,21306280
Volkswagen AG,12-2016,22200000,21188600,11900000,11523800,7100000,7741100,6200000,6340000,4800000,4608700,3800000,4284400,56000000,55686600,77961240,22274640
Volkswagen AG,01-2017,22100000,21626900,11500000,11711600,6600000,7709900,6000000,6396000,4200000,4329200,4000000,3933300,54400000,55706900,77989660,22282760
Volkswagen AG,02-2017,21800000,21297100,11000000,11897500,7600000,7706100,6800000,6018800,4200000,4399500,3800000,3913000,55200000,55232000,77324800,22092800
Volkswagen AG,03-2017,21500000,20990900,10600000,11720600,6800000,7382700,6200000,6647700,3800000,4587900,4600000,4371400,53500000,55701200,77981680,22280480
Volkswagen AG,04-2017,22400000,20630400,11700000,10990100,7600000,7840900,6100000,6197900,4400000,4025200,3800000,3704200,56000000,53388700,74744180,21355480
Volkswagen AG,05-2017,22500000,20432300,10900000,11049800,7100000,7092800,6900000,5955800,4700000,4068300,4300000,4395400,56400000,52994400,74192160,21197760
Volkswagen AG,06-2017,21800000,19748600,11000000,11677800,8000000,6859100,6900000,6678000,4400000,4729400,3600000,4406300,55700000,54099200,75738880,21639680
Volkswagen AG,07-2017,21600000,21764300,12100000,10997500,6700000,7501000,6400000,6787200,4500000,4060600,3500000,3715300,54800000,54825900,76756260,21930360
Volkswagen AG,08-2017,22200000,21009300,10700000,11512400,7200000,7483300,6200000,6203500,4700000,4888400,3500000,3924700,54500000,55021600,77030240,22008640
Volkswagen AG,09-2017,21700000,21178400,12400000,11853500,6500000,6842200,6600000,6588300,4800000,4801900,4700000,4198100,56700000,55462400,77647360,22184960
Volkswagen AG,10-2017,22400000,20835500,12200000,11002500,7400000,7648100,6000000,6675500,4600000,4465900,4400000,4194600,57000000,54822100,76750940,21928840
Volkswagen AG,11-2017,21700000,19794700,11800000,11368800,7000000,7545800,5900000,5983100,3800000,4455800,4600000,4240800,54800000,53389000,74744600,21355600
Volkswagen AG,12-2017,22500000,19507200,12400000,10967600,7000000,6911600,6400000,6272800,5100000,4285900,3700000,4185900,57100000,52131000,72983400,20852400
Volkswagen AG,01-2018,21700000,21267700,12200000,11533700,7400000,7229200,6800000,6544600,5100000,4127400,4300000,3819100,57500000,54521700,76330380,21808680
Volkswagen AG,02-2018,22400000,20738400,11300000,11783400,6700000,7049700,7000000,6173200,4200000,4027500,4000000,4454800,55600000,54227000,75917800,21690800
Volkswagen AG,03-2018,21700000,20573600,12200000,11472600,6800000,7033500,6200000,6407300,4600000,4425400,4000000,3832600,55500000,53745000,75243000,21498000
Volkswagen AG,04-2018,21600000,21414800,11300000,11407300,7300000,7670800,6000000,6661500,4900000,4779300,4700000,3717100,55800000,55650800,77911120,22260320
Volkswagen AG,05-2018,21700000,19520500,10900000,10938300,7500000,7650400,6100000,6704300,4700000,4163000,4600000,4466900,55500000,53443400,74820760,21377360
Volkswagen AG,06-2018,21700000,21792800,11700000,11825200,7900000,6823100,6700000,5919000,5000000,4717500,4500000,3711300,57500000,54788900,76704460,21915560
Volkswagen AG,07-2018,21800000,21976300,11300000,11315600,7800000,7722700,6100000,6259600,4200000,4159700,4300000,3905500,55500000,55339400,77475160,22135760
Volkswagen AG,08-2018,21900000,19643500,11800000,11223200,8000000,7191700,7000000,6773900,4800000,4583900,4100000,3974100,57600000,53390300,74746420,21356120
Volkswagen AG,09-2018,21600000,21275700,11400000,11290900,8100000,7816800,6600000,6054600,4300000,4010900,3900000,3951700,55900000,54400600,76160840,21760240
Volkswagen AG,10-2018,22300000,19571000,10900000,11161400,7100000,6765600,6600000,5970400,4000000,4359300,3500000,4243000,54400000,52070700,72898980,20828280
Volkswagen AG,11-2018,22000000,20982600,12100000,11501700,7800000,7750600,6400000,6731700,4600000,4588100,3600000,4014900,56500000,55569600,77797440,22227840
Volkswagen AG,12-2018,22100000,19951000,11500000,11549400,7000000,7397600,6900000,6797000,3800000,4789200,4600000,4158700,55900000,54642900,76500060,21857160
Volkswagen AG,01-2019,21600000,21563000,12400000,11408700,7700000,7528900,7100000,5940800,4500000,4598400,4000000,4292500,57300000,55332300,77465220,22132920
Volkswagen AG,02-2019,21600000,21741800,12300000,11645700,6500000,6874300,7100000,6433000,4900000,4675600,4400000,4402500,56800000,55772900,78082060,22309160
Volkswagen AG,03-2019,21800000,21025200,12200000,11865200,6600000,7480900,5800000,5927700,3800000,4393100,4200000,3942000,54400000,54634100,76487740,21853640
Volkswagen AG,04-2019,22100000,21524700,11000000,11426800,7700000,7752900,5900000,6553700,4600000,4678000,3600000,4038000,54900000,55974100,78363740,22389640
